id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
53689452,Apartamento em frente ao Rio Centro,434833540,Zeni,Camorim,-22.97998,-43.41667,Entire home/apt,379,2,23,2022-12-12,2.42,1,68,23
29007748,"Jd.Oceânico, Barra da tijuca. Praia e Metrô",218632842,Juliana,Barra da Tijuca,-23.01142,-43.31769,Entire home/apt,500,90,10,2020-02-25,0.22,1,332,0
10989512,Wonderful Barra Beach,56179426,Pedro,Barra da Tijuca,-23.01442,-43.30954,Entire home/apt,1189,2,47,2022-11-15,0.62,5,129,9
3760554,Appart Hotel Marbella,19255891,Antonio,Barra da Tijuca,-23.01257,-43.32387,Entire home/apt,1201,5,54,2021-10-14,0.54,2,305,0
646201654371525148,Apartamento agradável no Recreio dos Bandeirantes,374556577,Luana,Recreio dos Bandeirantes,-23.02085,-43.51303,Entire home/apt,260,3,0,,,1,354,0
757368255172638724,Apartamento aconchegante em Centro Rio de Janeiro,109994790,Conceicao,Centro,-22.9109343,-43.1881361,Entire home/apt,321,3,0,,,1,357,0
692753136428861583,CONDOMÍNIO TUDO EM SUAS MÃOS.,279235985,Stella,Recreio dos Bandeirantes,-23.01769,-43.47273,Private room,250,1,3,2022-09-11,0.78,1,362,3
709982771430813137,"Aparto. Ilha da Gigóia, Rock in Rio, praia e metrô",478393315,Débora,Barra da Tijuca,-23.0011503,-43.307866,Entire home/apt,300,1,0,,,1,362,0
18386381,KS RESIDENCE - Apt Completo p/ 3 pessoas,3106503,Stephan Oliveira,Barra da Tijuca,-23.00813,-43.30869,Entire home/apt,972,1,5,2021-12-12,0.09,2,344,0
709126993877775440,Apartamento lindo com piscina,373767251,Flavia,Jacarepaguá,-22.96473,-43.38508,Private room,1800,1,0,,,1,365,0
745576033440640673,Apartamento Barra da Tijuca,273023498,Maria Das Graças,Barra da Tijuca,-23.0054,-43.32812,Entire home/apt,1364,3,0,,,1,99,0
46956707,Studio aconchegante próximo ao Aterro do Flamengo,14603650,Vinicius,Glória,-22.92252,-43.17682,Entire home/apt,309,2,12,2022-01-02,0.5,1,37,1
53434486,Cantinho da Gratidão!,104538626,Harielle,Centro,-22.911154,-43.185577,Entire home/apt,250,3,3,2022-11-15,0.25,1,33,3
690623570471525692,Shows e eventos !,370231411,Roberta,Jacarepaguá,-22.96491,-43.38685,Private room,309,1,3,2022-09-13,0.77,1,362,3
13933976,Rio Olympic Park,31689897,Andre,Jacarepaguá,-22.97144,-43.38445,Entire home/apt,2639,1,0,,,2,83,0
701814123397703134,Alugo apartamento temporada rock in Rio,476767716,Claudia,Barra da Tijuca,-23.00409,-43.32892,Entire home/apt,1500,4,0,,,1,90,0
41062151,Vista linda mar,280995104,Cynthia,Barra da Tijuca,-23.01281,-43.32074,Entire home/apt,400,5,2,2020-11-30,0.08,1,303,0
751511827566594672,Apartamento aconchegante com vista para o mar,162141579,Rafaela,Copacabana,-22.970803723746258,-43.18342287526704,Private room,125,1,0,,,1,331,0
4709059,Perfect stay in Rio - 5 min beach,24338359,Angela,Recreio dos Bandeirantes,-23.02559,-43.50559,Entire home/apt,3853,3,0,,,1,365,0
4858341,Mar da Babilônia Hostel,24415930,Cristina,Leme,-22.95925,-43.16994,Shared room,109,1,3,2017-11-22,0.04,5,354,0
789220667599873377,Quarto Inteiro Próximo a Praia,401404178,Vinícius,Recreio dos Bandeirantes,-23.02766,-43.4734,Private room,299,1,0,,,2,361,0
568633965325498014,"Coração de Copa. Prox. praia, metrô, cama king",6029023,Naná,Copacabana,-22.96623,-43.18766,Entire home/apt,453,2,2,2022-12-24,0.23,2,9,2
13999048,Well located apartment with a beautiful view.,83632184,Elane,Botafogo,-22.95546,-43.1739,Entire home/apt,400,3,16,2022-09-26,0.21,1,102,11
31381453,"Temporada  ""Bed Room - Season """,235020051,Helio,Jacarepaguá,-22.96476,-43.38649,Private room,135,1,7,2021-10-24,0.18,1,170,0
645609463158164298,Apartamento em Botafogo para fim‑de‑semana,58085841,Jo,Botafogo,-22.94855,-43.18933,Entire home/apt,391,1,19,2022-12-21,2.86,1,347,19
9680343,Terrace&Sea - 2BD in Flamengo Beach,15025215,Ana,Flamengo,-22.93655,-43.16912,Entire home/apt,3431,4,0,,,5,359,0
39841727,Copacabana secreta,304618709,Bruna,Copacabana,-22.96561,-43.18628,Entire home/apt,400,3,2,2020-02-25,0.05,1,171,0
13426656,Gávea Penthouse 4 bedroom-2 suítes,149407,Ricardo,Gávea,-22.98091,-43.23485,Entire home/apt,2639,1,0,,,11,85,0
29564181,Apartamento Aconchegante pra sua Incrível Viagem,30717384,Isabela,Barra da Tijuca,-23.00518,-43.34887,Entire home/apt,384,5,3,2022-07-03,0.09,9,308,2
25454460,Santa Teresa conforto e simpatia,192131949,Monica,Santa Teresa,-22.92471,-43.18916,Private room,100,2,1,2019-03-05,0.02,1,354,0
53833069,Mediterraneo Flat - Magnifico.,4660805,Euzeni,Barra da Tijuca,-23.00561,-43.34064,Entire home/apt,600,5,0,,,2,360,0
41914266,"Barra Palace 2 quartos, flat de frente à praia",16432884,Leticia,Barra da Tijuca,-23.01065,-43.32069,Entire home/apt,1371,2,9,2022-10-12,0.38,1,99,8
50364394,Apartment Rio de Janeiro Barra da Tijuca 2,166175388,Beatriz,Barra da Tijuca,-23.00503,-43.30778,Entire home/apt,221,2,19,2022-11-13,1.08,3,365,8
53865677,Cobertura no leblon,385247141,Thais,Leblon,-22.98486,-43.21881,Entire home/apt,2690,6,0,,,2,359,0
776054679783259877,Aconchegante apartamento,425876730,Sheila,Barra da Tijuca,-23.0006099,-43.3569254,Entire home/apt,386,1,0,,,2,349,0
2890958,Cosy room in Santa Teresa,14775548,Nana,Santa Teresa,-22.92392,-43.18783,Private room,284,4,0,,,1,361,0
772038405057799364,Quarto Casal Feliz,426041701,Raul,Copacabana,-22.97033,-43.18323,Private room,250,1,3,2022-12-18,3.0,3,274,3
26775508,Suíte Leblon - Com vista para a piscina,193205371,Victor,Santa Teresa,-22.92075,-43.18502,Private room,170,1,16,2022-10-11,0.3,7,251,6
13831069,Recreio otimo 02 quartos! Novo e bem decorado,81560016,Pamella,Recreio dos Bandeirantes,-23.02266,-43.49138,Entire home/apt,2111,7,0,,,1,362,0
36180318,Apart hotel pe na areia,10296603,Joney,Barra da Tijuca,-23.00393,-43.35981,Entire home/apt,520,1,0,,,2,343,0
